0	Front cover	FL27542567	4015	5410
1	Flyleaf 001	FL27542576	4015	5410
2	Flyleaf 002	FL27542590	4015	5410
3	Flyleaf 003	FL27542607	4015	5410
4	Flyleaf 004	FL27542619	4015	5410
5	Flyleaf 005	FL27542626	4015	5410
6	Fol  001r	FL27542634	4015	5410
7	Fol  001v	FL27542645	4015	5410
8	Fol  002r	FL27542656	4015	5410
9	Fol  002v	FL27542667	4015	5410
10	Fol  003r	FL27542675	4015	5410
11	Fol  003v	FL27542685	4015	5410
12	Fol  004r	FL27542694	4015	5410
13	Fol  004v	FL27542703	4015	5410
14	Fol  005r	FL27542711	4015	5410
15	Fol  005v	FL27542716	4015	5410
16	Fol  006r	FL27542723	4015	5410
17	Fol  006v	FL27542733	4015	5410
18	Fol  007r	FL27542743	4015	5410
19	Fol  007r	FL27542751	4015	5410
20	Fol  008r	FL27542760	4015	5410
21	Fol  008v	FL27542769	4015	5410
22	Fol  009r	FL27542777	4015	5410
23	Fol  009v	FL27542782	4015	5410
24	Fol  010r	FL27542792	4015	5410
25	Fol  010v	FL27542797	4015	5410
26	Fol  011r	FL27542807	4015	5410
27	Fol  011v	FL27542817	4015	5410
28	Fol  012r	FL27542825	4015	5410
29	Fol  012v	FL27542833	4015	5410
30	Fol  013r	FL27542841	4015	5410
31	Fol  013v	FL27542849	4015	5410
32	Fol  014r	FL27542857	4015	5410
33	Fol  014v	FL27542871	4015	5410
34	Fol  015r	FL27542876	4015	5410
35	Fol  015v	FL27542884	4015	5410
36	Fol  016r	FL27542891	4015	5410
37	Fol  016v	FL27542900	4015	5410
38	Fol  017r	FL27542912	4015	5410
39	Fol  017v	FL27542927	4015	5410
40	Fol  018r	FL27542936	4015	5410
41	Fol  018v	FL27542945	4015	5410
42	Fol  019r	FL27542959	4015	5410
43	Fol  019v	FL27542972	4015	5410
44	Fol  020r	FL27542982	4015	5410
45	Fol  020v	FL27542991	4015	5410
46	Fol  021r	FL27543005	4015	5410
47	Fol  021v	FL27543018	4015	5410
48	Fol  022r	FL27543031	4015	5410
49	Fol  022v	FL27543039	4015	5410
50	Fol  023r	FL27543048	4015	5410
51	Fol  023v	FL27543057	4015	5410
52	Fol  024r	FL27543067	4015	5410
53	Fol  024v	FL27543077	4015	5410
54	Fol  025r	FL27543088	4015	5410
55	Fol  025v	FL27543099	4015	5410
56	Fol  026r	FL27543105	4015	5410
57	Fol  026v	FL27543116	4015	5410
58	Fol  027r	FL27543125	4015	5410
59	Fol  027v	FL27543138	4015	5410
60	Fol  028r	FL27543148	4015	5410
61	Fol  028v	FL27543162	4015	5410
62	Fol  029r	FL27543176	4015	5410
